Asian & Middle Eastern Regional Genres
Anime
Bhangra
Bolero(Vietnamese)
Bollywood
Carnatic Classical
Chuthey
Dabke
Devotional
Enka
Filmi
Ghazal
Hindustani Classical
Indian Fusion 
Indian Indie
J-Tracks
Mediterranean
Mizrahit
Mor lum
OPM
Qawwali
Sharqi
Songs for Life 
Thai Country 
