Metal
Axe
Bachata
Banda
Bolero(Latin)
Bossa Nova
Brazilian Funk
Champeta
Corrido
Cuarteto
Cumbia
Dancehall
Dembow
Dub
Folclor Andino
Folclor Llanero
Folclor Pacifico
Forro
Mariachi
Merengue
Musica Popular Brasilieira
Norteno
Pagode
Reggaeton
Roots Reggae
Salsa
Salsa Choke
Samba
Sertanejo
Sierreno
Soca
Sones
Tango
Tejano
Trap(Latin)
Vallenato
Zouk
