African Regional Genres
Afrikaans
Afrobeat
Afropop
Bikutsi
Bongo Flava
Coupe Decale
Digital Maskandi
Genge
Gengetone
Highlife
Kizomba
Kuduro
Mahraganat
M'balax
Maloya
N'dombolo
Rai
Rumba(Congolese)
Shaaby
Sharqi
Soukouss
