Pop
Afrikaans
Afrobeat
Alt-Pop
Contemporary Pop
Country Pop
Dance Pop
Folk Pop
Highlife
K-Pop
Lofi Pop
Maskandi
Mediterranean
Pop Rock
Reggaeton
Singer-Songwriter
