Afro House
Amapiano
Bass
Dance Pop
Deep House
Disco House
Downtempo
Drum & Bass
Dubstep
EDM
Electro Shaabi
Gqom
Hardcore/Raw
Hardstyle
House
IDM
K-Pop
Kwaito
Melodic/Future Bass
Minimal
Nu Disco
Progressive House
Psy-Trance
Shamstep
Shuffle
Soul House
Synthwave/Retrowave
Tech House
Techno
Trance
Trap
Tropical House
UK Garage
